60,259,311,337
124,93,311,331
145,122,311,337
173,4,311,317
203,123,311,331
252,117,311,337
259,305,311,317
286,289,311,317
2,225,313,331
8,78,313,331
9,98,313,331
32,162,313,331
45,82,313,331
80,165,313,331
87,301,313,331
96,39,313,331
115,117,313,317
116,35,313,331
120,144,313,331
123,283,313,331
127,60,313,331
140,174,313,317
149,172,313,331
158,311,313,337
166,115,313,331
169,300,313,331
172,143,313,331
173,133,313,331
173,230,313,337
195,146,313,331
212,231,313,317
215,82,313,331
218,285,313,317
224,122,313,331
230,87,313,331
239,60,313,331
240,54,313,317
253,135,313,331
259,113,313,331
283,127,313,331
307,68,313,331
307,226,313,337
16,43,317,349
42,168,317,347
48,120,317,337
48,197,317,337
55,267,317,331
59,246,317,331
75,309,317,331
135,61,317,331
138,176,317,331
149,212,317,347
164,174,317,331
211,140,317,337
279,298,317,337
286,235,317,331
292,173,317,347
298,151,317,337
315,295,317,331
1,213,331,349
10,218,331,349
14,310,331,337
22,319,331,349
26,85,331,349
34,110,331,349
38,67,331,337
43,40,331,353
44,318,331,349
65,253,331,337
67,144,331,349
73,133,331,349
74,262,331,353
76,243,331,337
81,321,331,349
85,143,331,349
89,170,331,349
112,27,331,337
113,270,331,349
116,98,331,349
122,98,331,349
139,37,331,353
148,233,331,349
151,19,331,349
157,84,331,349
185,170,331,349
187,105,331,347
188,162,331,337
192,258,331,337
207,84,331,347
217,313,331,347
225,252,331,337
226,323,331,337
233,84,331,349
234,170,331,349
241,327,331,337
247,66,331,347
279,307,331,349
280,247,331,349
292,124,331,347
297,308,331,353
299,95,331,353
309,70,331,337
309,267,331,337
311,269,331,349
313,254,331,337
314,316,331,347
329,174,331,349
26,175,337,349
34,145,337,347
43,96,337,347
87,3,337,347
89,81,337,347
110,221,337,353
117,123,337,349
136,149,337,347
138,328,337,347
184,255,337,347
188,317,337,353
208,147,337,353
236,316,337,347
240,145,337,347
274,265,337,347
301,65,337,349
301,169,337,353
306,189,337,353
322,78,337,347
325,329,337,347
327,310,337,353
43,257,347,353
69,69,347,353
70,193,347,349
94,272,347,353
107,291,347,353
148,110,347,349
176,171,347,353
256,240,347,353
272,286,347,349
336,269,347,353
253,321,349,353
346,346,349,353
